Corruption Perceptions Index 2018: The Americas,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Country,ISO3,CPI Score 2018,Rank 2018,Standard error 2018,Sources,Upper CI 2018,Lower CI 2018,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit Ratings,Global Insight Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index,Varieties of Democracy Project
Canada,CAN,81,9,2.16,8,85,77,,79,,90,,71,86,,85,,79,80,75
United States of America,USA,71,22,3.25,9,76,66,,70,,90,,71,71,53,76,,64,73,68
Uruguay,URY,70,23,2.73,7,74,66,,,77,72,,59,,,76,,60,70,73
Barbados,BRB,68,25,3.12,3,73,63,,,,,,71,,,,,,62,71
Chile,CHL,67,27,1.88,9,70,64,,62,77,72,,59,65,,67,,67,63,72
Bahamas,BHS,65,29,5.39,3,74,56,,,,,,59,,,76,,,61,
Saint Vincent and the Grenadines,VCT,58,41,3.39,3,64,52,,,,,,59,,,,52,,63,
Dominica,DMA,57,45,2.55,3,61,53,,,,,,59,,,,52,,60,
Costa Rica,CRI,56,48,3.65,7,62,50,,,69,55,,47,,,49,,46,64,65
Saint Lucia,LCA,55,50,4.27,3,62,48,,,,,,47,,,,60,,59,
Grenada,GRD,52,53,3,3,57,47,,,,,,47,,,,52,,57,
Cuba,CUB,47,61,2.56,5,51,43,,,41,55,,47,,,50,,,,42
Jamaica,JAM,44,70,3.37,7,50,38,,,37,37,,35,,,41,,45,51,59
Suriname,SUR,43,73,3.22,4,48,38,,,,,,35,,,41,,,47,49
Trinidad and Tobago,TTO,41,78,5.8,6,51,31,,,,37,,35,,,32,,33,38,69
Argentina,ARG,40,85,2.7,8,44,36,,,53,37,,35,40,,32,,33,48,46
Guyana,GUY,37,93,0.77,5,38,36,,,,,,35,,,38,35,,38,37
Panama,PAN,37,93,1.76,7,40,34,,,37,37,,35,,,32,,32,42,44
Colombia,COL,36,99,2.51,8,40,32,,,41,37,,47,23,,41,,31,36,35
Brazil,BRA,35,105,4.05,8,42,28,,,57,37,,35,24,,32,,18,39,38
El Salvador,SLV,35,105,2.59,7,39,31,,,45,37,,35,,,32,,23,32,40
Peru,PER,35,105,3.1,8,40,30,,,45,37,,35,25,,41,,23,30,46
Ecuador,ECU,34,114,3.46,7,40,28,,,37,37,,22,,,32,,24,34,50
Dominican Republic,DOM,30,129,2.57,7,34,26,,,29,37,,35,,,32,,30,29,16
Bolivia,BOL,29,132,3.6,7,35,23,,,37,37,,35,,,32,,13,19,33
Honduras,HND,29,132,2.42,8,33,25,,,33,20,,22,,,34,35,39,25,27
Paraguay,PRY,29,132,3.05,6,34,24,,,37,37,,22,,,32,,21,,24
Mexico,MEX,28,138,1.83,9,31,25,,35,29,37,,22,23,,24,,25,27,33
Guatemala,GTM,27,144,2.56,7,31,23,,,37,20,,22,,,32,,32,27,20
Nicaragua,NIC,25,152,1.13,8,27,23,,,25,20,,22,,,24,27,28,29,23
Haiti,HTI,20,161,2.47,6,24,16,,,17,,,22,,,24,27,10,,18
Venezuela,VEN,18,168,2.13,8,21,15,,,17,20,,10,23,,15,,10,19,28
